Astro ID,TIC ID,Sector,Centroid Distance (arcsec),PRF Fit Quality,Optim Method
1,101179364,13,2.0279208857711017,0.9624764241205264,L-BFGS-B
1,101179364,27,0.6790820538238459,0.9954641574599754,L-BFGS-B
1,101179364,67,0.7311461710206708,0.996183464732814,L-BFGS-B
2,101255974,18,23.282495959759924,0.9981328934669965,L-BFGS-B
2,101255974,42,22.494091139661965,0.999285269327046,L-BFGS-B
2,101255974,43,22.703383998544723,0.9801200968266941,L-BFGS-B
2,101255974,44,24.50803443583477,0.9982472237279231,L-BFGS-B
2,101255974,58,22.789743390688805,0.9989986781043312,L-BFGS-B
3,101404344,13,66.26735932205976,0.8995903573274558,L-BFGS-B
3,101404344,27,62.35020244670286,0.9861645570012277,L-BFGS-B
4,101427335,13,1.9949329847032178,0.9921170090584128,L-BFGS-B
4,101427335,27,1.069091929097237,0.9965377541371365,L-BFGS-B
4,101427335,67,0.7265952180764484,0.9986686787422342,L-BFGS-B
5,10150705,22,132.16551389115736,0.9888852494573772,L-BFGS-B
5,10150705,48,9.24026985762577,0.03919351975980076,L-BFGS-B
5,10150705,75,16.409067071379287,0.024000738453256027,L-BFGS-B
6,101513965,13,12.784257009501665,0.6764677245863586,L-BFGS-B
6,101513965,27,5.184085354436272,0.9272341076525238,L-BFGS-B
7,101546875,21,76.37998507707245,0.9914773185486295,L-BFGS-B
7,101546875,44,74.08735028121217,0.9792200115641471,L-BFGS-B
7,101546875,45,71.70051348168306,0.9993463430862319,L-BFGS-B
7,101546875,46,73.60131726268052,0.999439791638397,L-BFGS-B
7,101546875,47,75.84215884406389,0.9991062957850835,L-BFGS-B
8,101547609,21,2.009727993699884,0.9890063445564464,L-BFGS-B
8,101547609,47,21.633372150154305,0.5960533962957797,L-BFGS-B
9,101675455,25,1.9879364790424172,0.9945112493624974,Nelder-Mead
9,101675455,26,1.438822619367751,0.9728214054454696,Nelder-Mead
9,101675455,51,2.0536352909161875,0.9828270425589248,Nelder-Mead
9,101675455,52,0.8072999490697452,0.995058132081218,Nelder-Mead
9,101675455,53,3.1171937076166625,0.968635735551505,L-BFGS-B
9,101675455,78,1.0557781369953163,0.9989697093604247,Nelder-Mead
9,101675455,79,0.7146809795782166,0.9989700437951747,Nelder-Mead
10,101695924,13,17.027000774616102,0.9715573124468478,L-BFGS-B
10,101695924,27,16.868819144378936,0.9598228504793348,L-BFGS-B
10,101695924,67,19.873182813376722,0.7295384747251968,L-BFGS-B
11,102731164,14,67.7204811697333,0.9931310324634877,L-BFGS-B
11,102731164,41,63.11780504962164,0.9521745109372491,L-BFGS-B
11,102731164,54,68.07410350715583,0.9521985373954747,L-BFGS-B
11,102731164,55,67.87365541511184,0.992742116725183,L-BFGS-B
11,102731164,74,12.588878564366672,0.05541256600272871,L-BFGS-B
11,102731164,75,250.64450557512515,0.09527697390202605,L-BFGS-B
12,103573024,14,1.6169753545416383,0.9944342373317158,L-BFGS-B
12,103573024,21,3.4060172316943347,0.9897603520893515,L-BFGS-B
12,103573024,40,6.181728648260696,0.9506410194030113,L-BFGS-B
12,103573024,41,1.2971338771286351,0.9937857871847631,L-BFGS-B
12,103573024,47,0.5926602835513196,0.9825858833266843,L-BFGS-B
12,103573024,60,4.214780780167692,0.9804288057443592,L-BFGS-B
13,103657171,14,1.555394145724281,0.997371292532,L-BFGS-B
13,103657171,20,0.8604276308065829,0.9962962890431148,L-BFGS-B
13,103657171,21,3.0512606038357455,0.9821341682529725,L-BFGS-B
13,103657171,40,1.8329727699322673,0.9910664987880583,L-BFGS-B
13,103657171,41,1.617146075765417,0.9940007056942931,L-BFGS-B
13,103657171,47,0.7657262849569817,0.9956195074341875,L-BFGS-B
13,103657171,74,1.0968943384635723,0.9995721204448116,L-BFGS-B
14,104914008,14,28.86385776921821,0.9084993838309767,L-BFGS-B
14,104914008,15,30.749216954097786,0.9589874227210978,L-BFGS-B
14,104914008,41,33.72012104237395,0.9556935193289279,L-BFGS-B
14,104914008,54,31.6009843936026,0.864844872526489,L-BFGS-B
14,104914008,55,31.91758198454017,0.9061243207665394,L-BFGS-B
14,104914008,74,31.09399004116361,0.828389656658102,L-BFGS-B
14,104914008,75,32.37472539900068,0.8794574926651306,L-BFGS-B
15,105618511,23,2.6313881422740817,0.9914985189148975,L-BFGS-B
15,105618511,49,3.5215450566671076,0.991848137803752,L-BFGS-B
15,105618511,76,1.8253222013029788,0.987267840457815,L-BFGS-B
16,106013773,14,26.91746577234551,0.7998280889620373,L-BFGS-B
16,106013773,41,37.01126629771992,0.11827754310524423,L-BFGS-B
16,106013773,54,24.619010194913777,0.9506338013187395,L-BFGS-B
16,106013773,55,27.975722370265014,0.9022251125423795,L-BFGS-B
16,106013773,74,15.766830054465775,0.3358852851751731,L-BFGS-B
16,106013773,75,15.454684208232903,0.1552743075687909,L-BFGS-B
17,10697190,18,0.6416954924727961,0.9997054718283584,L-BFGS-B
17,10697190,58,2.0704649469418377,0.9987753923627307,L-BFGS-B
18,108911914,13,37.42989636446406,0.9920704095684937,L-BFGS-B
19,109765689,14,4.296165816850582,0.9370536527953344,L-BFGS-B
19,109765689,40,5.189120601514534,0.8484472210796934,L-BFGS-B
19,109765689,41,3.649430894315418,0.9814057319264944,L-BFGS-B
19,109765689,74,10.715921129798069,0.42168220506959114,L-BFGS-B
20,110310815,14,1.6948991950659986,0.9905650021692003,L-BFGS-B
20,110310815,40,1.9396147919646989,0.988773912947199,L-BFGS-B
20,110310815,41,6.701808025924335,0.7753744241333959,L-BFGS-B
