,TIC ID,SMass,SRad,Tmag,planetno,Epoc,Per,Depth,Dur,SRadEst,Astro ID,CentroidDistanceArcSec
0,1754591,,2.12588,10.4177,2,1817.5157595559645,0.5244315776919461,643.3244332493281,0.1227803791162155,,175459102.0,24.66746403426302
1,1837473,2.09,2.21099,10.4611,1,1818.3556746917036,1.2065243873421323,1097.2778187156762,0.3178773360754036,,183747301.0,68.46355763453008
2,1838019,,6.88374,10.157,1,1817.6922092029365,1.7411285770236562,665.8850340201368,0.1733147578683561,,183801901.0,13.426791013107952
3,1842481,2.97,4.15094,9.6947,1,1819.317422865824,2.5728850628163,197.7404809779547,0.337442159938736,,184248101.0,11.163806403512229
4,1847676,1.16,2.67381,10.4164,1,1819.236533768683,3.1124712826759926,1383.2846748273998,0.2411175949933064,,184767601.0,79.13148537277672
5,1847676,1.16,2.67381,10.4164,2,1817.5962026277225,3.1127116259648075,700.4830422890419,0.1902645623608133,,184767602.0,78.82778084275562
6,1942622,1.98,3.31855,9.0756,1,1818.3137154528577,2.3256347431919067,3567.1112622194705,0.1192309148140016,,194262201.0,15.790597513377111
7,1946493,1.365,1.47688,10.3062,1,1847.8858020872908,47.43996962415939,4032.647727136484,0.9042077742439276,,194649301.0,
8,2004839,,11.6868,10.2992,3,1818.921901462585,5.950971101049444,532.5856289180998,0.2254373782842254,,200483903.0,11.287507441248152
9,2006202,2.05,3.30044,9.8348,1,1817.985893805835,1.624813374183547,383.9487026338927,0.1535403174905306,,200620201.0,24.45618666980402
10,2006202,2.05,3.30044,9.8348,2,1818.7333361012704,1.624918829520709,253.72477651389897,0.1983098026669262,,200620202.0,25.1435172881306
11,2009741,,,10.4301,1,1833.505208888535,18.80452629412345,4824.054794287483,0.1038385102842836,,200974101.0,216.36269202791553
12,2100590,2.14,4.605,9.3423,5,1819.7423405419152,2.535145641197269,860.1119963601816,0.2022989697400696,,210059005.0,69.1233686268177
13,2100590,2.14,4.605,9.3423,6,1817.985825551684,2.535022196483348,824.5641153511377,0.1981292157240098,,210059006.0,68.91500102612802
14,2100590,2.14,4.605,9.3423,7,1818.7095093841024,2.535022196483348,978.8457288249288,0.1866834096827508,,210059007.0,69.44002054371535
15,2100865,1.471,1.76243,9.77854,2,1817.5636363191736,1.1323019424448142,137.60812968001446,0.2933866561900627,,210086502.0,22.011604509306046
16,2104696,,5.13982,8.6729,2,1819.98247872906,3.3069403512322357,245.1538329026045,0.3267968206440816,,210469602.0,9.107257537221027
17,2105067,2.47,4.50877,9.8256,2,1817.9206107665664,2.261021262129966,6468.897950308928,0.1124190748377369,,210506702.0,3.9706164781245366
18,2105119,2.69,3.60889,10.2692,1,1819.0303251472883,2.261074437658549,1102.064407311339,0.1106598251866275,,210511901.0,98.77839275757253
19,2106313,2.45,2.31161,10.404,1,1824.4433038565412,8.352945232467482,2785.7427044222586,0.184422498158594,,210631301.0,27.51781874375227
20,2106313,2.45,2.31161,10.404,2,1819.9426180244293,8.352348625402819,2886.749137013078,0.1835280107196648,,210631302.0,54.90354152391754
21,2148487,,10.6575,10.3849,8,1817.672534311514,0.3435375435106865,636.0120286143598,0.0407219172175891,,214848708.0,34.028075275055315
22,2230614,2.44,2.31203,10.4079,1,1818.3919932666568,1.2289167658438154,548.2976563237233,0.1286523462318553,,223061401.0,21.57809644614981
23,2231001,1.15,1.07028,10.4612,1,1819.641052410863,5.943321664109887,4636.735641785932,0.211107449109556,,223100101.0,52.779920259977494
24,2231001,1.15,1.07028,10.4612,2,1822.5032996061093,5.943208852798198,1839.360175629068,0.3162549559922867,,223100102.0,50.85342261744288
