toi_id,tic_id_astronet,planetno_astronet,tmag_astronet,period_toi,epoch_toi,duration_toi,depth_toi,centroid_distance_arcsec,disp_p,disp_e,disp_n,disp_j,disp_p_rank,operator_passed
1453.01,198390247,1,10.1426,6.5886877,3660.4093704,1.678,852.0,17.41411987844028,0.90110016,0.03177325,0.027408903,0.039717548,46,True
6058.01,144006874,1,9.5951,2.3673676,2935.9681891,1.045,550.0,12.179007862032616,0.90116495,0.021811312,0.028431838,0.048591897,45,True
1681.01,321041369,1,10.4445,1.5379289,2934.6024685,0.724,1112.0,18.264387033077615,0.90986896,0.03245025,0.024079364,0.03360137,38,False
1408.01,364186197,1,8.82374,4.424712,3475.3459215,1.215,2430.0,3.195044803299347,0.9164259,0.040490296,0.023650762,0.019433081,33,True
1655.01,266500992,1,10.3309,3.2786557,2934.4493798,2.73,1024.0,18.781074540724298,0.9171597,0.032926556,0.023603449,0.026310265,32,True
1611.01,264678534,1,7.5825,16.2017137,3449.0679017,2.696,901.0,1.1141899427954618,0.9174014,0.026281683,0.021750186,0.03456673,31,True
1339.03,269701147,3,8.2929,38.3513495,3507.7283127,5.317,853.0,13.331012680684326,0.9174815,0.019000035,0.026248138,0.03727034,30,True
1691.01,268334473,1,9.52636,16.7368995,3458.3064869,4.561,989.0,4.844080161154012,0.9203603,0.02838753,0.022720406,0.028531669,28,False
2116.01,422838133,1,9.68129,5.309031,2741.5349159,5.851,400.0,16.170657319211752,0.92281187,0.036094382,0.019296682,0.021797087,25,False
1255.01,237222864,1,9.1416,10.2888871,3337.877095,1.425,864.0,4.906804964764026,0.9232642,0.02581195,0.02177181,0.029151931,22,True
1706.01,230377505,1,10.486,4.5156165,3500.7465047,2.592,455.0,8.17025473426372,0.9254117,0.019515987,0.0253706,0.029701734,21,True
1339.02,269701147,2,8.2929,28.5804571,3555.1898625,4.038,900.0,20.849086936303294,0.9281391,0.020974182,0.022527408,0.028359156,19,True
4602.01,467651916,1,7.7746,3.9812985482340113,2476.737039440593,3.468200384714414,478.732203452373,19.50041641102171,0.93395007,0.027434353,0.017986706,0.020628834,17,True
1176.01,230088370,1,10.1772,14.0077738,3544.3867342,5.759,6170.0,12.16832067266531,0.9342738,0.030737793,0.021078955,0.013909404,16,False
1669.01,428679607,1,9.52906,2.6800572,3478.5816142,1.789,468.0,16.77201054212043,0.9360531,0.018062469,0.021767441,0.024116905,15,True
1836.01,207468071,1,9.29416,20.3807063,3461.7248227,6.217,1381.0,1.7859668791914547,0.94016546,0.019827154,0.020058788,0.019948548,13,True
1339.01,269701147,1,8.2929,8.8803247,3544.7026785,2.751,1223.0,4.870981948281425,0.9411329,0.020597156,0.019361485,0.018908395,12,True
1682.01,367366318,1,8.14847,2.7347659,3306.9658946,3.215,9250.0,7.220431654804661,0.9449634,0.026839329,0.019949496,0.008247668,8,True
1135.01,154872375,1,9.02855,8.0277331,3466.3087098,4.292,5704.0,2.5590570022382124,0.9549029,0.01601453,0.017212324,0.011870252,6,True
1186.01,289539327,1,9.92402,11.2463935,3536.7908589,7.536,7653.0,8.623275409262785,0.9647788,0.01267653,0.016364723,0.0061798617,5,True
